district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte
Centerville School District (WA),0.0,2017-18,0.0,,,6.0
Centerville School District (WA),0.0,2018-19,0.0,,,5.7
Centerville School District (WA),0.0,2019-20,0.0,,,5.6
Centerville School District (WA),0.0,2020-21,0.0,,,4.7
Centerville School District (WA),0.0,2021-22,0.0,,,5.0
Centerville School District (WA),0.0,2022-23,0.0,,,5.0
Centerville School District (WA),0.0,2023-24,,,,5.0
Centerville School District (WA),0.0,2024-25,,,,5.0
Central Kitsap School District (WA),18.0,2015-16,0.78,616.0,33.0,587.39
Central Kitsap School District (WA),18.0,2016-17,0.9,617.0,34.0,605.07
Central Kitsap School District (WA),9.0,2017-18,0.47,1260.0,66.0,596.48
Central Kitsap School District (WA),18.0,2018-19,0.95,637.0,35.0,634.98
Central Kitsap School District (WA),18.0,2019-20,0.95,659.0,35.0,638.62
Central Kitsap School District (WA),18.0,2020-21,0.95,618.0,33.0,592.05
Central Kitsap School District (WA),18.0,2021-22,0.95,626.0,34.0,606.33
Central Kitsap School District (WA),18.0,2022-23,0.95,623.0,34.0,612.0
Central Kitsap School District (WA),17.8,2023-24,0.94,624.0,34.0,603.26
Central Kitsap School District (WA),18.0,2024-25,0.95,617.0,34.0,605.01
Central Valley School District (WA),22.1,2015-16,0.79,603.0,33.0,735.41
Central Valley School District (WA),22.3,2016-17,0.8,604.0,33.0,746.56
Central Valley School District (WA),23.6,2017-18,0.84,588.0,34.0,814.08
Central Valley School District (WA),22.81,2018-19,0.76,640.0,37.0,840.13
Central Valley School District (WA),24.61,2019-20,0.79,601.0,33.0,816.0
Central Valley School District (WA),7.0,2020-21,0.23,2023.0,117.0,819.79
Central Valley School District (WA),23.0,2021-22,0.7,634.0,38.0,867.8
Central Valley School District (WA),8.0,2022-23,0.25,1836.0,117.0,933.0
Central Valley School District (WA),6.3,2023-24,0.2,2337.0,132.0,829.59
Central Valley School District (WA),6.1,2024-25,0.19,2463.0,139.0,849.3
Centralia School District (WA),0.0,2015-16,0.0,,,196.03
Centralia School District (WA),0.0,2016-17,0.0,,,199.67
Centralia School District (WA),0.0,2017-18,0.0,,,196.89
Centralia School District (WA),1.0,2018-19,0.11,3577.0,204.0,203.59
Centralia School District (WA),1.0,2019-20,0.11,3638.0,197.0,197.39
Centralia School District (WA),0.0,2020-21,0.0,,,180.23
Centralia School District (WA),0.0,2021-22,0.0,,,201.45
Centralia School District (WA),0.0,2022-23,0.0,,,210.0
Centralia School District (WA),1.0,2023-24,0.11,3374.0,208.0,208.07
